tamanho,tipo,algoritmo,tempo_medio_s
5000,Aleatorio,Heapsort,0.0010639
5000,Crescente,Heapsort,0.0007179
5000,Decrescente,Heapsort,0.0008241
10000,Aleatorio,Heapsort,0.0020194
10000,Crescente,Heapsort,0.0016271
10000,Decrescente,Heapsort,0.0016091
15000,Aleatorio,Heapsort,0.0030350
15000,Crescente,Heapsort,0.0027799
15000,Decrescente,Heapsort,0.0024538
20000,Aleatorio,Heapsort,0.0043453
20000,Crescente,Heapsort,0.0038769
20000,Decrescente,Heapsort,0.0034024
25000,Aleatorio,Heapsort,0.0052154
25000,Crescente,Heapsort,0.0045435
25000,Decrescente,Heapsort,0.0041681
30000,Aleatorio,Heapsort,0.0064647
30000,Crescente,Heapsort,0.0058879
30000,Decrescente,Heapsort,0.0056843
35000,Aleatorio,Heapsort,0.0078161
35000,Crescente,Heapsort,0.0064509
35000,Decrescente,Heapsort,0.0062362
40000,Aleatorio,Heapsort,0.0088247
40000,Crescente,Heapsort,0.0070880
40000,Decrescente,Heapsort,0.0071549
45000,Aleatorio,Heapsort,0.0100679
45000,Crescente,Heapsort,0.0082900
45000,Decrescente,Heapsort,0.0079821
50000,Aleatorio,Heapsort,0.0113275
50000,Crescente,Heapsort,0.0093169
50000,Decrescente,Heapsort,0.0088295
