tamanho,tipo,algoritmo,tempo_medio_s
5000,Aleatorio,insercao,0.0225527
5000,Crescente,insercao,0.0000215
5000,Decrescente,insercao,0.0438926
10000,Aleatorio,insercao,0.0879015
10000,Crescente,insercao,0.0000348
10000,Decrescente,insercao,0.1757181
15000,Aleatorio,insercao,0.1971406
15000,Crescente,insercao,0.0000508
15000,Decrescente,insercao,0.4013889
20000,Aleatorio,insercao,0.3514875
20000,Crescente,insercao,0.0000655
20000,Decrescente,insercao,0.7014775
25000,Aleatorio,insercao,0.5498319
25000,Crescente,insercao,0.0000881
25000,Decrescente,insercao,1.1385728
30000,Aleatorio,insercao,0.8056794
30000,Crescente,insercao,0.0011641
30000,Decrescente,insercao,1.6505377
35000,Aleatorio,insercao,1.0761059
35000,Crescente,insercao,0.0001230
35000,Decrescente,insercao,2.1566220
40000,Aleatorio,insercao,1.4316364
40000,Crescente,insercao,0.0001292
40000,Decrescente,insercao,2.8289613
45000,Aleatorio,insercao,1.7829523
45000,Crescente,insercao,0.0001506
45000,Decrescente,insercao,3.6069326
50000,Aleatorio,insercao,2.1887407
50000,Crescente,insercao,0.0001816
50000,Decrescente,insercao,4.4128102
