tamanho,tipo,algoritmo,tempo_medio_s
5000,Aleatorio,Mergesort,0.0005932
5000,Crescente,Mergesort,0.0003875
5000,Decrescente,Mergesort,0.0003881
10000,Aleatorio,Mergesort,0.0012832
10000,Crescente,Mergesort,0.0008174
10000,Decrescente,Mergesort,0.0008171
15000,Aleatorio,Mergesort,0.0020028
15000,Crescente,Mergesort,0.0012718
15000,Decrescente,Mergesort,0.0012685
20000,Aleatorio,Mergesort,0.0027118
20000,Crescente,Mergesort,0.0017226
20000,Decrescente,Mergesort,0.0017272
25000,Aleatorio,Mergesort,0.0034546
25000,Crescente,Mergesort,0.0021705
25000,Decrescente,Mergesort,0.0021816
30000,Aleatorio,Mergesort,0.0042266
30000,Crescente,Mergesort,0.0026618
30000,Decrescente,Mergesort,0.0027005
35000,Aleatorio,Mergesort,0.0050315
35000,Crescente,Mergesort,0.0031770
35000,Decrescente,Mergesort,0.0032322
40000,Aleatorio,Mergesort,0.0057886
40000,Crescente,Mergesort,0.0036623
40000,Decrescente,Mergesort,0.0036737
45000,Aleatorio,Mergesort,0.0065194
45000,Crescente,Mergesort,0.0041057
45000,Decrescente,Mergesort,0.0041078
50000,Aleatorio,Mergesort,0.0072906
50000,Crescente,Mergesort,0.0045628
50000,Decrescente,Mergesort,0.0045744
