tamanho,tipo,algoritmo,tempo_medio_s
5000,Aleatorio,Quicksort,0.0004936
5000,Crescente,Quicksort,0.0530000
5000,Decrescente,Quicksort,0.0404802
10000,Aleatorio,Quicksort,0.0010639
10000,Crescente,Quicksort,0.2055383
10000,Decrescente,Quicksort,0.1560113
15000,Aleatorio,Quicksort,0.0018031
15000,Crescente,Quicksort,0.4833394
15000,Decrescente,Quicksort,0.3959120
20000,Aleatorio,Quicksort,0.0021800
20000,Crescente,Quicksort,0.8567331
20000,Decrescente,Quicksort,0.6307118
25000,Aleatorio,Quicksort,0.0029568
25000,Crescente,Quicksort,1.3415045
25000,Decrescente,Quicksort,0.9887697
30000,Aleatorio,Quicksort,0.0035476
30000,Crescente,Quicksort,1.9085836
30000,Decrescente,Quicksort,1.4323559
35000,Aleatorio,Quicksort,0.0041001
35000,Crescente,Quicksort,2.6267281
35000,Decrescente,Quicksort,1.9400197
40000,Aleatorio,Quicksort,0.0047776
40000,Crescente,Quicksort,3.4031606
40000,Decrescente,Quicksort,2.5339171
45000,Aleatorio,Quicksort,0.0053768
45000,Crescente,Quicksort,4.2854034
45000,Decrescente,Quicksort,3.3075024
50000,Aleatorio,Quicksort,0.0066014
50000,Crescente,Quicksort,5.3062524
50000,Decrescente,Quicksort,4.0348230
